id,locality,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
9806048,Middelkerke,HOUSE,HOUSE,residential_sale,180000,2,67,0,0,0,0,None,0,None,0,2,0,GOOD
9795818,Verviers,HOUSE,HOUSE,residential_sale,189000,5,195,0,0,0,1,None,0,None,151,2,0,TO_RENOVATE
9954507,Menen,HOUSE,HOUSE,residential_sale,189000,3,140,0,0,0,1,None,1,None,160,2,0,GOOD
10048896,Herstal,HOUSE,APARTMENT_BLOCK,residential_sale,189500,4,None,0,0,0,1,None,1,None,550,2,0,GOOD
10048895,Herstal,HOUSE,HOUSE,residential_sale,189500,4,None,0,0,0,1,None,1,None,550,2,0,GOOD
10100613,Jupille-sur-Meuse,HOUSE,HOUSE,residential_sale,190000,2,99,0,0,0,0,None,1,None,177,2,0,TO_RENOVATE
10100731,Soignies,HOUSE,HOUSE,residential_sale,195000,4,150,0,0,0,1,None,0,None,260,2,0,GOOD
10042113,GEER,HOUSE,HOUSE,residential_sale,199000,4,164,0,0,0,0,None,1,None,1044,3,0,TO_RENOVATE
9896989,Stembert,HOUSE,HOUSE,residential_sale,199000,3,115,0,0,0,1,None,1,None,110,2,0,GOOD
10064263,SAINT-SERVAIS,HOUSE,HOUSE,residential_sale,199000,4,150,0,0,0,1,None,0,None,494,2,0,TO_RENOVATE
9884444,Bastogne,HOUSE,HOUSE,residential_sale,200000,3,None,0,0,0,0,None,1,None,22014,4,0,
9798619,Houffalize,HOUSE,HOUSE,residential_sale,200000,4,None,0,0,0,0,None,1,None,241,2,0,GOOD
10090069,NEVELE,HOUSE,HOUSE,residential_sale,200000,2,113,0,0,0,0,None,1,None,621,4,0,TO_BE_DONE_UP
10107841,Dour,HOUSE,HOUSE,residential_sale,205000,3,149,0,0,0,1,None,1,None,230,2,0,
10088402,Irchonwelz,HOUSE,HOUSE,residential_sale,206000,3,133,0,0,0,0,None,0,None,340,2,0,JUST_RENOVATED
9660863,LÉGLISE,HOUSE,HOUSE,residential_sale,210000,3,None,0,0,0,0,None,1,None,1191,4,0,GOOD
9944733,IVOZ-RAMET,HOUSE,COUNTRY_COTTAGE,residential_sale,215000,4,146,0,0,0,0,None,1,None,329,3,0,GOOD
10055875,Liege,HOUSE,HOUSE,residential_sale,225000,2,130,0,0,0,1,None,1,None,137,2,0,AS_NEW
9942665,Houffalize,HOUSE,HOUSE,residential_sale,225000,3,None,0,0,0,0,None,1,None,3982,4,0,TO_RENOVATE
10094882,Ellezelles,HOUSE,HOUSE,residential_sale,225000,2,92,0,0,0,1,None,0,None,0,2,0,
9841603,JEMEPPE,HOUSE,HOUSE,residential_sale,228000,3,None,1,0,0,1,None,1,None,0,2,0,JUST_RENOVATED
10060579,Grace-Hollogne,HOUSE,HOUSE,residential_sale,229000,3,120,0,0,0,1,None,1,None,486,2,0,
9790765,Pepinster,HOUSE,HOUSE,residential_sale,229000,4,206,None,0,0,1,None,1,None,0,2,0,
9968745,Gent,APARTMENT,APARTMENT,residential_sale,574500,2,189,None,0,0,1,None,1,None,,,0,
9763616,Blankenberge,APARTMENT,APARTMENT,residential_sale,607500,2,86,1,0,0,1,None,0,None,,,0,AS_NEW
9968744,Gent,APARTMENT,APARTMENT,residential_sale,679000,2,239,None,0,0,1,None,1,None,,,0,
10133642,Uccle,APARTMENT,PENTHOUSE,residential_sale,995000,4,297,1,0,0,1,None,0,None,,3,1,GOOD
9958412,Bruxelles,APARTMENT,DUPLEX,residential_sale,1264000,3,186,0,0,0,1,None,0,None,,3,0,AS_NEW
10148698,Molenbeek-Saint-Jean,APARTMENT,APARTMENT,residential_sale,192000,2,130,0,0,0,1,None,0,None,None,4,0,TO_RENOVATE
10148553,Booischot,APARTMENT,DUPLEX,residential_sale,195000,1,47,0,0,0,1,None,0,None,,,0,AS_NEW
10098307,Hoboken,APARTMENT,GROUND_FLOOR,residential_sale,225000,1,65,0,0,0,1,None,1,None,None,2,0,AS_NEW
10149109,Buggenhout,APARTMENT,APARTMENT,residential_sale,318000,1,71,1,0,0,1,None,0,None,None,2,0,AS_NEW
