post_code,type_of_property,subtype,price,construction_year,state,type_of_sale,bedrooms_count,habitable_surface,kitchen_type,furnished,fireplace,has_terrace,terrace_area,has_garden,garden_area,land_area,num_facade,swimmingpool
4400,HOUSE,HOUSE,239000.0,1952.0,GOOD,Regular,3.0,92.0,INSTALLED,False,False,True,None,True,195.0,309.0,4.0,False
4530,HOUSE,HOUSE,239000.0,1899.0,TO_RENOVATE,Regular,4.0,148.0,SEMI_EQUIPPED,False,False,True,None,True,2800.0,3000.0,4.0,False
9600,HOUSE,TOWN_HOUSE,245000.0,1958.0,TO_BE_DONE_UP,Regular,3.0,172.0,SEMI_EQUIPPED,False,False,None,None,True,104.0,169.0,2.0,False
4000,HOUSE,HOUSE,249000.0,1831.0,TO_BE_DONE_UP,Regular,6.0,252.0,NOT_INSTALLED,False,False,True,49.0,True,653.0,910.0,2.0,False
4040,HOUSE,TOWN_HOUSE,249000.0,1970.0,GOOD,Regular,3.0,116.0,INSTALLED,False,False,True,6.0,True,156.0,320.0,3.0,False
4420,HOUSE,HOUSE,249000.0,1979.0,GOOD,Regular,4.0,172.0,INSTALLED,True,False,True,57.0,True,765.0,404.0,3.0,False
4420,HOUSE,HOUSE,249000.0,1920.0,TO_BE_DONE_UP,Regular,5.0,160.0,INSTALLED,False,False,None,None,True,30.0,140.0,2.0,False
9600,HOUSE,HOUSE,249500.0,1900.0,GOOD,Regular,4.0,290.0,HYPER_EQUIPPED,False,False,True,15.0,True,150.0,280.0,2.0,False
5030,HOUSE,HOUSE,250000.0,1874.0,TO_RENOVATE,Regular,3.0,110.0,NOT_INSTALLED,False,False,None,None,True,760.0,940.0,3.0,False
4630,HOUSE,HOUSE,255000.0,1918.0,GOOD,Regular,3.0,234.0,INSTALLED,False,False,True,None,True,220.0,300.0,3.0,False
4040,HOUSE,APARTMENT_BLOCK,259000.0,1938.0,GOOD,Regular,7.0,215.0,SEMI_EQUIPPED,False,False,True,20.0,None,None,140.0,2.0,False
1421,HOUSE,HOUSE,260000.0,1930.0,GOOD,Regular,3.0,120.0,SEMI_EQUIPPED,False,False,True,10.0,True,550.0,695.0,3.0,False
9280,HOUSE,HOUSE,260000.0,1955.0,GOOD,Regular,3.0,169.0,INSTALLED,False,False,True,12.0,True,100.0,238.0,2.0,False
9600,HOUSE,HOUSE,265000.0,1925.0,JUST_RENOVATED,Regular,3.0,152.0,INSTALLED,False,False,True,7.0,True,450.0,675.0,2.0,False
9000,HOUSE,HOUSE,269000.0,1918.0,TO_RESTORE,Regular,5.0,168.0,NOT_INSTALLED,False,True,None,None,True,48.0,150.0,3.0,False
6040,HOUSE,HOUSE,270000.0,1975.0,AS_NEW,Regular,3.0,220.0,HYPER_EQUIPPED,False,False,True,60.0,True,50.0,1000.0,2.0,False
4000,HOUSE,APARTMENT_BLOCK,279000.0,1930.0,GOOD,Regular,5.0,237.0,INSTALLED,False,False,None,None,True,117.0,283.0,2.0,False
4041,HOUSE,HOUSE,279000.0,2005.0,GOOD,Regular,4.0,142.0,INSTALLED,False,False,True,70.0,True,136.0,304.0,2.0,False
9600,HOUSE,MANSION,279000.0,1945.0,JUST_RENOVATED,Regular,5.0,258.0,INSTALLED,False,False,True,29.0,None,None,156.0,2.0,False
2830,HOUSE,MIXED_USE_BUILDING,295000.0,1955.0,TO_RENOVATE,Regular,4.0,80.0,SEMI_EQUIPPED,False,False,None,None,None,None,350.0,2.0,False
7000,HOUSE,HOUSE,295000.0,1960.0,GOOD,Regular,5.0,250.0,INSTALLED,False,True,True,52.0,True,2940.0,3600.0,3.0,False
9300,HOUSE,HOUSE,295000.0,1956.0,GOOD,Regular,3.0,154.0,USA_INSTALLED,False,False,True,10.0,True,20.0,185.0,2.0,False
4960,HOUSE,HOUSE,299000.0,1957.0,TO_BE_DONE_UP,Regular,8.0,788.0,SEMI_EQUIPPED,False,False,True,None,True,1873.0,2319.0,4.0,False
1471,HOUSE,HOUSE,300000.0,1918.0,GOOD,Regular,2.0,160.0,USA_HYPER_EQUIPPED,False,False,True,35.0,True,400.0,613.0,2.0,False
9600,HOUSE,MIXED_USE_BUILDING,305000.0,1900.0,TO_RENOVATE,Regular,5.0,302.0,INSTALLED,False,False,True,45.0,True,555.0,1195.0,4.0,False
4500,HOUSE,MIXED_USE_BUILDING,310000.0,1850.0,GOOD,Regular,4.0,213.0,NOT_INSTALLED,False,False,None,None,None,None,119.0,2.0,False
6800,HOUSE,HOUSE,319000.0,1963.0,GOOD,Regular,5.0,140.0,NOT_INSTALLED,False,False,True,30.0,True,1000.0,1152.0,4.0,False
1700,HOUSE,HOUSE,320000.0,1950.0,GOOD,Regular,3.0,123.0,SEMI_EQUIPPED,False,False,None,None,True,30.0,95.0,2.0,False
7060,HOUSE,VILLA,325000.0,1984.0,TO_BE_DONE_UP,Regular,4.0,220.0,INSTALLED,False,False,True,None,True,None,1578.0,4.0,False
1800,HOUSE,HOUSE,335000.0,1958.0,TO_RENOVATE,Regular,3.0,125.0,SEMI_EQUIPPED,False,False,None,None,True,100.0,192.0,2.0,False
1070,HOUSE,HOUSE,345000.0,1932.0,TO_RENOVATE,Regular,3.0,167.0,USA_SEMI_EQUIPPED,False,False,True,15.0,True,45.0,140.0,2.0,False
1390,HOUSE,HOUSE,345000.0,1974.0,TO_BE_DONE_UP,Regular,3.0,115.0,SEMI_EQUIPPED,False,False,True,30.0,True,700.0,871.0,4.0,False
1070,HOUSE,HOUSE,349000.0,1900.0,GOOD,Regular,3.0,190.0,USA_HYPER_EQUIPPED,False,False,True,5.0,None,None,50.0,2.0,False
1140,HOUSE,HOUSE,350000.0,1930.0,TO_RENOVATE,Regular,2.0,112.0,SEMI_EQUIPPED,False,False,True,16.0,True,26.0,94.0,2.0,False
9000,HOUSE,HOUSE,359000.0,1946.0,GOOD,Regular,4.0,135.0,USA_INSTALLED,False,False,True,7.0,None,None,70.0,2.0,False
1620,HOUSE,HOUSE,375000.0,1920.0,TO_BE_DONE_UP,Regular,4.0,160.0,INSTALLED,False,False,True,20.0,True,50.0,160.0,2.0,False
9700,HOUSE,HOUSE,375000.0,1969.0,JUST_RENOVATED,Regular,3.0,239.0,INSTALLED,False,False,True,20.0,True,425.0,744.0,3.0,False
9140,HOUSE,HOUSE,380000.0,1958.0,TO_RENOVATE,Regular,4.0,168.0,INSTALLED,False,False,True,15.0,True,800.0,902.0,4.0,False
4671,HOUSE,HOUSE,390000.0,1973.0,GOOD,Regular,3.0,173.0,INSTALLED,False,False,True,29.0,True,550.0,1130.0,4.0,False
1300,HOUSE,HOUSE,399000.0,1940.0,TO_RENOVATE,Regular,4.0,215.0,INSTALLED,False,False,True,40.0,None,None,3882.0,4.0,False
4590,HOUSE,HOUSE,399000.0,1958.0,GOOD,Regular,4.0,200.0,SEMI_EQUIPPED,False,False,True,40.0,True,1350.0,1653.0,4.0,False
1980,HOUSE,VILLA,419000.0,1958.0,GOOD,Regular,3.0,140.0,SEMI_EQUIPPED,False,False,True,22.0,True,461.0,560.0,4.0,False
1120,HOUSE,TOWN_HOUSE,430000.0,1963.0,TO_BE_DONE_UP,Regular,3.0,135.0,INSTALLED,False,False,True,6.0,True,100.0,194.0,2.0,False
1400,HOUSE,VILLA,445000.0,1992.0,GOOD,Regular,3.0,178.0,INSTALLED,False,False,True,41.0,True,1030.0,1163.0,4.0,False
4100,HOUSE,EXCEPTIONAL_PROPERTY,449000.0,2003.0,GOOD,Regular,5.0,198.0,INSTALLED,False,False,True,37.0,True,600.0,1177.0,4.0,False
1000,HOUSE,HOUSE,465000.0,1935.0,AS_NEW,Regular,4.0,229.0,HYPER_EQUIPPED,False,False,True,48.0,None,None,110.0,2.0,False
1020,HOUSE,HOUSE,465000.0,1935.0,AS_NEW,Regular,4.0,229.0,HYPER_EQUIPPED,False,False,True,48.0,None,None,110.0,2.0,False
1970,HOUSE,HOUSE,475000.0,1974.0,GOOD,Regular,3.0,150.0,SEMI_EQUIPPED,False,False,True,40.0,True,550.0,601.0,3.0,False
1082,HOUSE,HOUSE,495000.0,1991.0,AS_NEW,Regular,4.0,180.0,INSTALLED,False,False,True,7.0,True,100.0,137.0,2.0,False
1020,HOUSE,HOUSE,525000.0,1938.0,GOOD,Regular,4.0,167.0,INSTALLED,False,False,True,5.0,True,70.0,178.0,2.0,False
1082,HOUSE,TOWN_HOUSE,565000.0,1973.0,GOOD,Regular,5.0,230.0,USA_INSTALLED,False,False,True,15.0,True,120.0,358.0,3.0,False
3150,HOUSE,MIXED_USE_BUILDING,569000.0,1920.0,TO_BE_DONE_UP,Regular,5.0,240.0,HYPER_EQUIPPED,True,False,True,60.0,True,80.0,280.0,3.0,False
8020,HOUSE,VILLA,569000.0,1997.0,GOOD,Regular,4.0,191.0,INSTALLED,False,False,None,None,True,730.0,1320.0,4.0,False
1390,HOUSE,VILLA,575000.0,1988.0,GOOD,Regular,4.0,245.0,USA_HYPER_EQUIPPED,False,False,True,56.0,True,1244.0,1369.0,4.0,False
1200,HOUSE,HOUSE,580000.0,1910.0,TO_BE_DONE_UP,Regular,4.0,224.0,SEMI_EQUIPPED,False,False,None,None,True,75.0,163.0,2.0,False
9041,HOUSE,VILLA,589000.0,2003.0,GOOD,Regular,4.0,160.0,INSTALLED,False,False,True,None,True,420.0,703.0,4.0,False
4141,HOUSE,APARTMENT_BLOCK,595000.0,1950.0,AS_NEW,Regular,10.0,430.0,SEMI_EQUIPPED,False,False,True,40.0,True,160.0,956.0,4.0,False
