,id,locality,postal_code,region,province,type_of_property,subtype_of_property,type_of_sale,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
99,9479395,Zwevegem,8550,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,269000,1,66,NO_INFO,-1,0,0,1,18,-1,-1,-1,-1,0,GOOD
100,10072610,Waregem,8790,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,269000,1,75,NO_INFO,-1,0,0,1,16,-1,-1,-1,-1,0,GOOD
101,10072603,Waregem,8790,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,269000,1,75,NO_INFO,-1,0,0,1,21,-1,-1,-1,-1,0,GOOD
102,10072602,Waregem,8790,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,269000,1,75,NO_INFO,-1,0,0,1,22,-1,-1,-1,-1,0,GOOD
103,10072585,Waregem,8790,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,269000,1,75,NO_INFO,-1,0,0,1,20,-1,-1,-1,-1,0,GOOD
104,9325081,Hamme,9220,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,269000,2,147,NO_INFO,-1,0,0,1,9,-1,-1,-1,3,0,NO_INFO
105,9367898,Ardooie,8850,Flanders,West Flanders,APARTMENT,APARTMENT,residential_sale,270000,2,-1,INSTALLED,INSTALLED,0,0,1,10,1,-1,-1,-1,0,NO_INFO
106,9479391,Zwevegem,8550,Flanders,West Flanders,APARTMENT,SERVICE_FLAT,residential_sale,273000,1,75,NO_INFO,-1,0,0,1,4,-1,-1,-1,-1,0,GOOD
107,10030778,Ixelles,1050,Brussels,Brussels,APARTMENT,FLAT_STUDIO,residential_sale,275000,2,85,INSTALLED,INSTALLED,-1,0,-1,-1,-1,-1,-1,2,-1,AS_NEW
108,9762688,De Panne,8660,Flanders,West Flanders,APARTMENT,APARTMENT,residential_sale,275000,2,-1,NO_INFO,-1,0,0,1,-1,-1,-1,-1,-1,0,AS_NEW
109,9794348,Ronse,9600,Flanders,East Flanders,APARTMENT,APARTMENT,residential_sale,275000,2,108,NO_INFO,-1,0,0,1,8,1,-1,-1,2,0,NO_INFO
110,9367897,Ardooie,8850,Flanders,West Flanders,APARTMENT,APARTMENT,residential_sale,277500,2,-1,INSTALLED,INSTALLED,0,0,1,10,1,-1,-1,-1,0,NO_INFO
111,10095841,Halle,1500,Flanders,Flemish Brabant,APARTMENT,SERVICE_FLAT,residential_sale,279000,0,100,NO_INFO,-1,0,0,-1,-1,-1,-1,-1,-1,0,AS_NEW
